editId	srclang	trglang	srcIndex	documentId	segmentId	editorId	system1Number	system1Id	system1actionVal	system1actionStr	system1edit
1	Spanish	English	1558	spiegel/2009/12/12/73257	91	A23KO2TP7I4KK2	6	cmu-heafield-combo	1	EDIT	Since he has been in contact with the psychologist Kasten through the Internet, he now knows that he is not crazy.
2	Spanish	English	1559	spiegel/2009/12/12/73257	92	A23KO2TP7I4KK2	6	cmu-heafield-combo	3	BAD	The madness is also a work of art by despair.
3	Spanish	English	1560	spiegel/2009/12/12/73257	93	A23KO2TP7I4KK2	6	cmu-heafield-combo	1	EDIT	According to Kasten, when a person is isolated socially or suffers a restriction of incentives, it is very likely that after a time he or she may have hallucinations.
4	Spanish	English	1561	spiegel/2009/12/12/73257	94	A23KO2TP7I4KK2	6	cmu-heafield-combo	3	BAD	I believe that the brain is emptied yse charged the same sought entertainment.
5	Spanish	English	1562	spiegel/2009/12/12/73257	95	A23KO2TP7I4KK2	6	cmu-heafield-combo	1	EDIT	Sarah K., an only child, was a little scared of the other children and often played alone.
6	Spanish	English	1966	cincodias/2009/12/11/5334	8	A23KO2TP7I4KK2	23	huicong	3	BAD	Service providers and solutions for assessment and maintenance claims devoted to collecting information provided by manufacturers , to devise after and communicate it to their customers in the form of a useful tool .
7	Spanish	English	1967	cincodias/2009/12/11/5334	9	A23KO2TP7I4KK2	23	huicong	1	EDIT	In Spain, Audatex, part of the American group Solera, is the clear leader: 80% of the assessments are made with their products .
8	Spanish	English	1968	cincodias/2009/12/11/5334	10	A23KO2TP7I4KK2	23	huicong	1	EDIT	The other companies competing in the field of actuarial tools and processing information for the sector are Gtmotive and Eurotax.
9	Spanish	English	1969	cincodias/2009/12/11/5334	11	A23KO2TP7I4KK2	23	huicong	2	OK	Working with data provided by manufacturers is far from simple .
10	Spanish	English	1970	cincodias/2009/12/11/5334	12	A23KO2TP7I4KK2	23	huicong	1	EDIT	According to Eduardo Velázquez, Director of Trade, in Spain Audatex works with 63 manufacturers and importers, and every one of them provides information in different formats.
